farm_id,state,crop_type,farm_acres,initial_investment_inr,subsidy_percent,net_investment_inr,spraying_rate_per_acre_inr,monthly_acres_covered,monthly_revenue_inr,monthly_op_cost_inr,payback_period_months,roi_3yr_percent
FARM-228,Haryana,Cotton,126,450000,40,270000,400,178,71200,31016,6.7,435.8
FARM-229,Maharashtra,Chilli,168,800000,50,400000,500,184,92000,30728,6.5,451.4
FARM-230,Maharashtra,Tea,270,1000000,0,1000000,500,160,80000,32685,21.1,70.3
FARM-231,Punjab,Cotton,172,1000000,50,500000,400,263,105200,34251,7.0,410.8
FARM-232,Tamil Nadu,Sugarcane,72,450000,0,450000,550,256,140800,59504,5.5,550.4
FARM-233,Haryana,Chilli,82,800000,80,159999,550,292,160600,70743,1.8,1921.8
FARM-234,Uttar Pradesh,Cotton,42,1000000,40,600000,450,368,165600,66020,6.0,497.5
FARM-235,Haryana,Soybean,90,650000,0,650000,400,153,61200,19269,15.5,132.2
FARM-236,Maharashtra,Chilli,151,800000,80,159999,450,286,128700,43115,1.9,1825.7
FARM-237,Tamil Nadu,Sugarcane,161,1000000,0,1000000,500,385,192500,84434,9.3,289.0
FARM-238,Telangana,Wheat,144,1000000,0,1000000,550,292,160600,56337,9.6,275.3
FARM-239,Andhra Pradesh,Chilli,70,650000,80,129999,500,207,103500,37776,2.0,1720.1
FARM-240,Tamil Nadu,Sugarcane,191,800000,40,480000,400,387,154800,53389,4.7,660.6
FARM-241,Andhra Pradesh,Tea,217,650000,0,650000,450,195,87750,39476,13.5,167.4
FARM-242,Punjab,Wheat,161,1000000,0,1000000,550,170,93500,39009,18.4,96.2
FARM-243,Haryana,Paddy,290,800000,0,800000,500,202,101000,36586,12.4,189.9
FARM-244,Uttar Pradesh,Paddy,89,450000,0,450000,550,164,90200,32736,7.8,359.7
FARM-245,Maharashtra,Paddy,290,800000,80,159999,500,182,91000,39326,3.1,1062.7
FARM-246,Maharashtra,Paddy,172,450000,40,270000,550,490,269500,98792,1.6,2176.1
FARM-247,Andhra Pradesh,Chilli,146,1000000,50,500000,400,455,182000,74950,4.7,670.8
FARM-248,Haryana,Paddy,30,1000000,40,600000,400,477,190800,65218,4.8,653.5
FARM-249,Maharashtra,Wheat,139,450000,80,89999,550,222,122100,50364,1.3,2769.5
FARM-250,Karnataka,Chilli,216,1000000,40,600000,550,249,136950,60653,7.9,357.8
FARM-251,Uttar Pradesh,Paddy,278,650000,50,325000,450,464,208800,73885,2.4,1394.4
FARM-252,Punjab,Soybean,170,650000,50,325000,550,164,90200,37120,6.1,488.0
FARM-253,Karnataka,Chilli,245,800000,80,159999,550,296,162800,66536,1.7,2066.0
FARM-254,Tamil Nadu,Cotton,85,1000000,0,1000000,550,331,182050,72984,9.2,292.6
FARM-255,Uttar Pradesh,Tea,77,650000,40,390000,500,222,111000,48021,6.2,481.3
FARM-256,Tamil Nadu,Paddy,98,450000,80,89999,550,416,228800,82319,0.6,5759.3
FARM-257,Maharashtra,Sugarcane,251,650000,80,129999,500,346,173000,77354,1.4,2548.7
FARM-258,Maharashtra,Paddy,241,450000,40,270000,400,441,176400,55424,2.2,1513.0
FARM-259,Andhra Pradesh,Wheat,213,800000,40,480000,400,411,164400,52320,4.3,740.6
FARM-260,Karnataka,Tea,295,450000,50,225000,500,228,114000,42374,3.1,1046.0
FARM-261,Punjab,Tea,266,450000,40,270000,500,192,96000,41638,5.0,624.8
FARM-262,Uttar Pradesh,Tea,66,800000,50,400000,450,354,159300,48633,3.6,896.0
FARM-263,Punjab,Cotton,101,650000,80,129999,500,194,97000,37488,2.2,1548.0
FARM-264,Uttar Pradesh,Wheat,286,1000000,0,1000000,500,405,202500,74120,7.8,362.2
FARM-265,Haryana,Sugarcane,29,800000,80,159999,500,202,101000,41255,2.7,1244.3
FARM-266,Maharashtra,Soybean,161,1000000,40,600000,550,395,217250,66124,4.0,806.8
FARM-267,Punjab,Soybean,187,650000,40,390000,450,402,180900,68165,3.5,940.6
FARM-268,Karnataka,Sugarcane,237,800000,0,800000,450,405,182250,73353,7.3,390.0
FARM-269,Punjab,Chilli,248,800000,0,800000,500,165,82500,27005,14.4,149.7
FARM-270,Andhra Pradesh,Soybean,49,1000000,0,1000000,550,365,200750,87580,8.8,307.4
FARM-271,Haryana,Sugarcane,217,800000,0,800000,500,289,144500,50064,8.5,325.0
FARM-272,Tamil Nadu,Wheat,156,800000,50,400000,400,405,162000,58318,3.9,833.1
FARM-273,Karnataka,Tea,266,800000,80,159999,500,380,190000,67249,1.3,2661.9
FARM-274,Karnataka,Chilli,75,800000,80,159999,400,457,182800,81270,1.6,2184.4
FARM-275,Telangana,Cotton,263,450000,40,270000,400,285,114000,39031,3.6,899.6
FARM-276,Telangana,Chilli,53,450000,80,89999,450,333,149850,66468,1.1,3235.3
FARM-277,Uttar Pradesh,Chilli,40,800000,40,480000,550,347,190850,84792,4.5,695.4
FARM-278,Uttar Pradesh,Cotton,159,450000,0,450000,450,223,100350,31457,6.5,451.1
FARM-279,Telangana,Chilli,171,650000,40,390000,500,209,104500,46611,6.7,434.4
FARM-280,Punjab,Sugarcane,217,800000,40,480000,400,322,128800,55886,6.6,446.9
FARM-281,Tamil Nadu,Paddy,261,650000,0,650000,550,349,191950,86231,6.1,485.5
FARM-282,Punjab,Tea,213,1000000,50,500000,450,272,122400,49204,6.8,427.0
FARM-283,Uttar Pradesh,Cotton,266,800000,80,159999,500,464,232000,93533,1.2,3015.5
FARM-284,Maharashtra,Sugarcane,255,650000,0,650000,500,464,232000,74101,4.1,774.5
FARM-285,Telangana,Sugarcane,97,650000,0,650000,400,210,84000,28958,11.8,204.8
FARM-286,Haryana,Wheat,83,800000,80,159999,400,482,192800,75411,1.4,2541.3
FARM-287,Haryana,Wheat,59,650000,80,129999,450,330,148500,54893,1.4,2492.2
FARM-288,Haryana,Cotton,19,650000,80,129999,500,393,196500,66965,1.0,3487.2
FARM-289,Maharashtra,Wheat,19,800000,80,159999,450,451,202950,64381,1.2,3017.8
FARM-290,Karnataka,Chilli,40,650000,0,650000,550,326,179300,60046,5.5,560.5
FARM-291,Uttar Pradesh,Wheat,282,450000,40,270000,450,220,99000,36835,4.3,728.9
FARM-292,Tamil Nadu,Cotton,33,450000,80,89999,450,315,141750,52921,1.0,3453.2
FARM-293,Telangana,Wheat,93,450000,50,225000,550,155,85250,28274,3.9,811.6
FARM-294,Tamil Nadu,Tea,198,450000,80,89999,450,461,207450,81354,0.7,4943.9
FARM-295,Karnataka,Chilli,132,1000000,80,199999,450,245,110250,35260,2.7,1249.8
FARM-296,Telangana,Tea,81,650000,50,325000,500,319,159500,69484,3.6,897.1
FARM-297,Telangana,Paddy,185,450000,0,450000,450,407,183150,61262,3.7,875.1
FARM-298,Karnataka,Soybean,22,800000,0,800000,400,434,173600,72100,7.9,356.8
FARM-299,Karnataka,Cotton,125,650000,0,650000,550,449,246950,87275,4.1,784.4
FARM-300,Telangana,Tea,124,1000000,0,1000000,550,442,243100,103293,7.2,403.3
